pkg_bundle,Lot/Job Num,Qty Ship,UOM,Net Weight (LB),Net Weight (KG)
072,4TE379,1.0,PC,1603,727
073,4TE379,1.0,PC,1616,733
074,4TE379,1.0,PC,1618,734
075,4TE379,1.0,PC,1623,736
076,4TE379,1.0,PC,1625,737
077,4TE379,1.0,PC,1623,736
078,4TE379,1.0,PC,1623,736
001,4TE386,1.0,PC,1625,737
002,4TE386,1.0,PC,1629,739
003,4TE386,1.0,PC,1631,740
004,4TE386,1.0,PC,1631,740
005,4TE386,1.0,PC,1634,741
006,4TE386,1.0,PC,1629,739
007,4TE386,1.0,PC,1596,724
008,4TE386,1.0,PC,1625,737
009,4TE386,1.0,PC,1629,739
010,4TE386,1.0,PC,1631,740
011,4TE386,1.0,PC,1629,739
012,4TE386,1.0,PC,1631,740
013,4TE386,1.0,PC,1629,739
014,4TE386,1.0,PC,1596,724
015,4TE386,1.0,PC,1625,737
016,4TE386,1.0,PC,1631,740
017,4TE386,1.0,PC,1631,740
018,4TE386,1.0,PC,1631,740
019,4TE386,1.0,PC,1631,740
020,4TE386,1.0,PC,1631,740
021,4TE386,1.0,PC,1598,725
022,4TE386,1.0,PC,1625,737
023,4TE386,1.0,PC,1629,739
024,4TE386,1.0,PC,1631,740
025,4TE386,1.0,PC,1629,739
026,4TE386,1.0,PC,1631,740
001,4TE393,1.0,PC,1616,733
002,4TE393,1.0,PC,1620,735
003,4TE393,1.0,PC,1618,734
004,4TE393,1.0,PC,1620,735
005,4TE393,1.0,PC,1620,735
006,4TE393,1.0,PC,1620,735
007,4TE393,1.0,PC,1618,734
008,4TE393,1.0,PC,1587,720
009,4TE393,1.0,PC,1618,734
010,4TE393,1.0,PC,1618,734
011,4TE393,1.0,PC,1620,735
012,4TE393,1.0,PC,1623,736
013,4TE393,1.0,PC,1623,736
014,4TE393,1.0,PC,1623,736
015,4TE393,1.0,PC,1623,736
016,4TE393,1.0,PC,1587,720
017,4TE393,1.0,PC,1616,733
018,4TE393,1.0,PC,1620,735
019,4TE393,1.0,PC,1620,735
020,4TE393,1.0,PC,1623,736
021,4TE393,1.0,PC,1620,735
022,4TE393,1.0,PC,1623,736
023,4TE393,1.0,PC,1620,735
024,4TE393,1.0,PC,1603,727
025,4TE393,1.0,PC,1614,732
026,4TE393,1.0,PC,1618,734
027,4TE393,1.0,PC,1620,735
028,4TE393,1.0,PC,1620,735
029,4TE393,1.0,PC,1620,735
030,4TE393,1.0,PC,1620,735
031,4TE393,1.0,PC,1620,735
032,4TE393,1.0,PC,1585,719
033,4TE393,1.0,PC,1614,732
034,4TE393,1.0,PC,1620,735
035,4TE393,1.0,PC,1623,736
036,4TE393,1.0,PC,1623,736
037,4TE393,1.0,PC,1623,736
038,4TE393,1.0,PC,1623,736
039,4TE393,1.0,PC,1620,735
040,4TE393,1.0,PC,1598,725
041,4TE393,1.0,PC,1609,730
042,4TE393,1.0,PC,1618,734
043,4TE393,1.0,PC,1618,734
044,4TE393,1.0,PC,1618,734
045,4TE393,1.0,PC,1618,734
046,4TE393,1.0,PC,1618,734
047,4TE393,1.0,PC,1616,733
048,4TE393,1.0,PC,1594,723
049,4TE393,1.0,PC,1620,735
050,4TE393,1.0,PC,1623,736
051,4TE393,1.0,PC,1623,736
052,4TE393,1.0,PC,1623,736
053,4TE393,1.0,PC,1623,736
054,4TE393,1.0,PC,1620,735
055,4TE393,1.0,PC,1618,734
056,4TE393,1.0,PC,1594,723
057,4TE393,1.0,PC,1614,732
058,4TE393,1.0,PC,1616,733
059,4TE393,1.0,PC,1620,735
060,4TE393,1.0,PC,1620,735
061,4TE393,1.0,PC,1620,735
062,4TE393,1.0,PC,1620,735
063,4TE393,1.0,PC,1618,734
064,4TE393,1.0,PC,1601,726
065,4TE393,1.0,PC,1618,734
066,4TE393,1.0,PC,1623,736
067,4TE393,1.0,PC,1623,736
068,4TE393,1.0,PC,1623,736
069,4TE393,1.0,PC,1623,736
070,4TE393,1.0,PC,1623,736
071,4TE393,1.0,PC,1620,735
072,4TE393,1.0,PC,1609,730
073,4TE393,1.0,PC,1618,734
074,4TE393,1.0,PC,1625,737
075,4TE393,1.0,PC,1623,736
076,4TE393,1.0,PC,1625,737
077,4TE393,1.0,PC,1623,736
078,4TE393,1.0,PC,1620,735
079,4TE393,1.0,PC,1623,736
080,4TE393,1.0,PC,1590,721
081,4TE393,1.0,PC,1620,735
082,4TE393,1.0,PC,1620,735
083,4TE393,1.0,PC,1625,737
084,4TE393,1.0,PC,1625,737
085,4TE393,1.0,PC,1625,737
086,4TE393,1.0,PC,1625,737
087,4TE393,1.0,PC,1623,736
088,4TE393,1.0,PC,1612,731
089,4TE393,1.0,PC,1623,736
090,4TE393,1.0,PC,1623,736
091,4TE393,1.0,PC,1625,737
092,4TE393,1.0,PC,1625,737
093,4TE393,1.0,PC,1625,737
094,4TE393,1.0,PC,1625,737
095,4TE393,1.0,PC,1623,736
096,4TE393,1.0,PC,1601,726
