pkg_bundle,Lot/Job Num,Qty Ship,UOM,Net Weight (LB),Net Weight (KG)
001,4TE385,1.0,PC,1623,736
002,4TE385,1.0,PC,1629,739
003,4TE385,1.0,PC,1631,740
004,4TE385,1.0,PC,1631,740
005,4TE385,1.0,PC,1631,740
006,4TE385,1.0,PC,1631,740
007,4TE385,1.0,PC,1607,729
008,4TE385,1.0,PC,1623,736
009,4TE385,1.0,PC,1629,739
010,4TE385,1.0,PC,1631,740
011,4TE385,1.0,PC,1629,739
012,4TE385,1.0,PC,1629,739
013,4TE385,1.0,PC,1627,738
014,4TE385,1.0,PC,1612,731
015,4TE385,1.0,PC,1625,737
016,4TE385,1.0,PC,1631,740
017,4TE385,1.0,PC,1631,740
018,4TE385,1.0,PC,1631,740
019,4TE385,1.0,PC,1631,740
020,4TE385,1.0,PC,1629,739
021,4TE385,1.0,PC,1607,729
022,4TE385,1.0,PC,1623,736
023,4TE385,1.0,PC,1629,739
024,4TE385,1.0,PC,1629,739
025,4TE385,1.0,PC,1629,739
026,4TE385,1.0,PC,1631,740
027,4TE385,1.0,PC,1629,739
028,4TE385,1.0,PC,1609,730
029,4TE385,1.0,PC,1625,737
030,4TE385,1.0,PC,1629,739
031,4TE385,1.0,PC,1631,740
032,4TE385,1.0,PC,1629,739
033,4TE385,1.0,PC,1629,739
034,4TE385,1.0,PC,1627,738
035,4TE385,1.0,PC,1609,730
036,4TE385,1.0,PC,1625,737
037,4TE385,1.0,PC,1631,740
038,4TE385,1.0,PC,1631,740
039,4TE385,1.0,PC,1629,739
040,4TE385,1.0,PC,1631,740
041,4TE385,1.0,PC,1631,740
042,4TE385,1.0,PC,1609,730
043,4TE385,1.0,PC,1629,739
044,4TE385,1.0,PC,1631,740
045,4TE385,1.0,PC,1634,741
046,4TE385,1.0,PC,1631,740
047,4TE385,1.0,PC,1631,740
048,4TE385,1.0,PC,1629,739
049,4TE385,1.0,PC,1601,726
050,4TE385,1.0,PC,1625,737
051,4TE385,1.0,PC,1631,740
052,4TE385,1.0,PC,1631,740
053,4TE385,1.0,PC,1631,740
054,4TE385,1.0,PC,1631,740
055,4TE385,1.0,PC,1629,739
056,4TE385,1.0,PC,1603,727
057,4TE385,1.0,PC,1629,739
058,4TE385,1.0,PC,1631,740
059,4TE385,1.0,PC,1634,741
060,4TE385,1.0,PC,1631,740
061,4TE385,1.0,PC,1634,741
062,4TE385,1.0,PC,1629,739
063,4TE385,1.0,PC,1598,725
064,4TE385,1.0,PC,1627,738
065,4TE385,1.0,PC,1629,739
066,4TE385,1.0,PC,1631,740
067,4TE385,1.0,PC,1629,739
068,4TE385,1.0,PC,1629,739
069,4TE385,1.0,PC,1629,739
070,4TE385,1.0,PC,1598,725
071,4TE385,1.0,PC,1629,739
072,4TE385,1.0,PC,1631,740
073,4TE385,1.0,PC,1634,741
074,4TE385,1.0,PC,1634,741
075,4TE385,1.0,PC,1634,741
076,4TE385,1.0,PC,1629,739
077,4TE385,1.0,PC,1605,728
078,4TE385,1.0,PC,1631,740
079,4TE385,1.0,PC,1636,742
080,4TE385,1.0,PC,1636,742
081,4TE385,1.0,PC,1634,741
082,4TE385,1.0,PC,1634,741
083,4TE385,1.0,PC,1634,741
084,4TE385,1.0,PC,1609,730
038,4TE386,1.0,PC,1631,740
039,4TE386,1.0,PC,1631,740
040,4TE386,1.0,PC,1631,740
041,4TE386,1.0,PC,1631,740
042,4TE386,1.0,PC,1594,723
043,4TE386,1.0,PC,1629,739
044,4TE386,1.0,PC,1634,741
045,4TE386,1.0,PC,1634,741
046,4TE386,1.0,PC,1631,740
047,4TE386,1.0,PC,1634,741
048,4TE386,1.0,PC,1631,740
049,4TE386,1.0,PC,1587,720
050,4TE386,1.0,PC,1625,737
051,4TE386,1.0,PC,1631,740
052,4TE386,1.0,PC,1631,740
053,4TE386,1.0,PC,1631,740
054,4TE386,1.0,PC,1634,741
055,4TE386,1.0,PC,1629,739
056,4TE386,1.0,PC,1594,723
057,4TE386,1.0,PC,1629,739
058,4TE386,1.0,PC,1631,740
059,4TE386,1.0,PC,1636,742
060,4TE386,1.0,PC,1634,741
061,4TE386,1.0,PC,1634,741
062,4TE386,1.0,PC,1634,741
063,4TE386,1.0,PC,1590,721
064,4TE386,1.0,PC,1625,737
065,4TE386,1.0,PC,1631,740
066,4TE386,1.0,PC,1631,740
067,4TE386,1.0,PC,1631,740
068,4TE386,1.0,PC,1629,739
069,4TE386,1.0,PC,1629,739
070,4TE386,1.0,PC,1592,722
071,4TE386,1.0,PC,1631,740
072,4TE386,1.0,PC,1634,741
073,4TE386,1.0,PC,1636,742
074,4TE386,1.0,PC,1634,741
075,4TE386,1.0,PC,1634,741
076,4TE386,1.0,PC,1631,740
077,4TE386,1.0,PC,1583,718
078,4TE386,1.0,PC,1634,741
079,4TE386,1.0,PC,1636,742
080,4TE386,1.0,PC,1636,742
081,4TE386,1.0,PC,1634,741
082,4TE386,1.0,PC,1634,741
083,4TE386,1.0,PC,1631,740
084,4TE386,1.0,PC,1585,719
