pkg_bundle,Lot/Job Num,Qty Ship,UOM,Net Weight (LB),Net Weight (KG)
024,4TE379,1.0,PC,1596,724
025,4TE379,1.0,PC,1616,733
026,4TE379,1.0,PC,1620,735
027,4TE379,1.0,PC,1620,735
028,4TE379,1.0,PC,1623,736
029,4TE379,1.0,PC,1620,735
030,4TE379,1.0,PC,1623,736
031,4TE379,1.0,PC,1620,735
032,4TE379,1.0,PC,1590,721
033,4TE379,1.0,PC,1616,733
034,4TE379,1.0,PC,1620,735
035,4TE379,1.0,PC,1620,735
036,4TE379,1.0,PC,1620,735
037,4TE379,1.0,PC,1620,735
038,4TE379,1.0,PC,1620,735
039,4TE379,1.0,PC,1620,735
040,4TE379,1.0,PC,1605,728
041,4TE379,1.0,PC,1616,733
042,4TE379,1.0,PC,1618,734
043,4TE379,1.0,PC,1616,733
044,4TE379,1.0,PC,1620,735
045,4TE379,1.0,PC,1618,734
046,4TE379,1.0,PC,1620,735
047,4TE379,1.0,PC,1620,735
048,4TE379,1.0,PC,1603,727
049,4TE379,1.0,PC,1616,733
050,4TE379,1.0,PC,1620,735
051,4TE379,1.0,PC,1620,735
052,4TE379,1.0,PC,1620,735
053,4TE379,1.0,PC,1620,735
054,4TE379,1.0,PC,1620,735
055,4TE379,1.0,PC,1620,735
056,4TE379,1.0,PC,1609,730
057,4TE379,1.0,PC,1616,733
058,4TE379,1.0,PC,1620,735
059,4TE379,1.0,PC,1623,736
060,4TE379,1.0,PC,1623,736
061,4TE379,1.0,PC,1623,736
062,4TE379,1.0,PC,1623,736
063,4TE379,1.0,PC,1620,735
064,4TE379,1.0,PC,1596,724
065,4TE379,1.0,PC,1620,735
066,4TE379,1.0,PC,1625,737
067,4TE379,1.0,PC,1625,737
068,4TE379,1.0,PC,1627,738
069,4TE379,1.0,PC,1625,737
070,4TE379,1.0,PC,1625,737
071,4TE379,1.0,PC,1623,736
001,4TE382,1.0,PC,1620,735
002,4TE382,1.0,PC,1629,739
003,4TE382,1.0,PC,1631,740
004,4TE382,1.0,PC,1629,739
005,4TE382,1.0,PC,1631,740
006,4TE382,1.0,PC,1629,739
007,4TE382,1.0,PC,1579,716
008,4TE382,1.0,PC,1620,735
009,4TE382,1.0,PC,1627,738
010,4TE382,1.0,PC,1627,738
011,4TE382,1.0,PC,1627,738
012,4TE382,1.0,PC,1629,739
013,4TE382,1.0,PC,1627,738
014,4TE382,1.0,PC,1576,715
015,4TE382,1.0,PC,1623,736
016,4TE382,1.0,PC,1629,739
017,4TE382,1.0,PC,1629,739
018,4TE382,1.0,PC,1629,739
019,4TE382,1.0,PC,1629,739
020,4TE382,1.0,PC,1627,738
021,4TE382,1.0,PC,1583,718
022,4TE382,1.0,PC,1618,734
023,4TE382,1.0,PC,1627,738
024,4TE382,1.0,PC,1629,739
025,4TE382,1.0,PC,1627,738
026,4TE382,1.0,PC,1629,739
027,4TE382,1.0,PC,1627,738
028,4TE382,1.0,PC,1583,718
029,4TE382,1.0,PC,1620,735
030,4TE382,1.0,PC,1627,738
031,4TE382,1.0,PC,1629,739
032,4TE382,1.0,PC,1627,738
033,4TE382,1.0,PC,1627,738
034,4TE382,1.0,PC,1627,738
035,4TE382,1.0,PC,1579,716
036,4TE382,1.0,PC,1625,737
037,4TE382,1.0,PC,1629,739
038,4TE382,1.0,PC,1631,740
039,4TE382,1.0,PC,1629,739
040,4TE382,1.0,PC,1631,740
041,4TE382,1.0,PC,1629,739
042,4TE382,1.0,PC,1576,715
043,4TE382,1.0,PC,1627,738
044,4TE382,1.0,PC,1629,739
045,4TE382,1.0,PC,1631,740
046,4TE382,1.0,PC,1629,739
047,4TE382,1.0,PC,1629,739
048,4TE382,1.0,PC,1629,739
049,4TE382,1.0,PC,1570,712
050,4TE382,1.0,PC,1625,737
051,4TE382,1.0,PC,1629,739
052,4TE382,1.0,PC,1631,740
053,4TE382,1.0,PC,1629,739
054,4TE382,1.0,PC,1629,739
055,4TE382,1.0,PC,1627,738
056,4TE382,1.0,PC,1570,712
057,4TE382,1.0,PC,1623,736
058,4TE382,1.0,PC,1629,739
059,4TE382,1.0,PC,1631,740
060,4TE382,1.0,PC,1631,740
061,4TE382,1.0,PC,1631,740
062,4TE382,1.0,PC,1629,739
063,4TE382,1.0,PC,1570,712
064,4TE382,1.0,PC,1625,737
065,4TE382,1.0,PC,1627,738
066,4TE382,1.0,PC,1629,739
067,4TE382,1.0,PC,1629,739
068,4TE382,1.0,PC,1629,739
069,4TE382,1.0,PC,1627,738
070,4TE382,1.0,PC,1570,712
071,4TE382,1.0,PC,1629,739
072,4TE382,1.0,PC,1629,739
073,4TE382,1.0,PC,1631,740
074,4TE382,1.0,PC,1631,740
075,4TE382,1.0,PC,1631,740
076,4TE382,1.0,PC,1629,739
077,4TE382,1.0,PC,1567,711
078,4TE382,1.0,PC,1629,739
079,4TE382,1.0,PC,1631,740
080,4TE382,1.0,PC,1634,741
081,4TE382,1.0,PC,1631,740
082,4TE382,1.0,PC,1634,741
083,4TE382,1.0,PC,1631,740
084,4TE382,1.0,PC,1567,711
