pkg_bundle,Lot/Job Num,Qty Ship,UOM,Net Weight (LB),Net Weight (KG)
005,L25S0934,93.0,PC,1997,906
006,L25S0934,93.0,PC,1977,897
009,L25S0934,93.0,PC,2034,923
010,L25S0934,93.0,PC,2006,910
401,L25S0934,37.0,PC,808,367
401,L25S0946,56.0,PC,1221,554
401,L25S0946,14.0,PC,298,135
401,L25S0955,79.0,PC,1688,766
007,L25S0957,93.0,PC,1988,902
008,L25S0957,93.0,PC,1998,906
009,L25S0957,93.0,PC,2025,919
010,L25S0957,93.0,PC,1968,893
011,L25S0957,93.0,PC,1945,882
012,L25S0957,93.0,PC,2025,919
011,L25S0966,93.0,PC,1988,902
012,L25S0966,93.0,PC,2029,920
401,L25S0966,65.0,PC,1401,635
002,L25S0967,93.0,PC,2054,932
009,L25S0967,93.0,PC,2021,917
010,L25S0967,93.0,PC,2027,919
401,L25S0967,28.0,PC,603,274
007,L25S0968,93.0,PC,2022,917
009,L25S0968,93.0,PC,1957,888
007,L25S0969,93.0,PC,2024,918
008,L25S0969,93.0,PC,1984,900
