pkg_bundle,Lot/Job Num,Qty Ship,UOM,Net Weight (LB),Net Weight (KG)
009,M25S0311,1.0,PC,1487,674
010,M25S0311,1.0,PC,1487,674
011,M25S0311,1.0,PC,1487,674
006,M25S0373,1.0,PC,1229,557
010,M25S0373,1.0,PC,1229,557
012,M25S0373,1.0,PC,1229,557
008,M25S0394,1.0,PC,1415,642
013,M25S0408,1.0,PC,1472,668
012,M25S0410,1.0,PC,1400,635
002,M25S0415,1.0,PC,1373,623
003,M25S0415,1.0,PC,1373,623
004,M25S0415,1.0,PC,1373,623
005,M25S0415,1.0,PC,1373,623
006,M25S0415,1.0,PC,1373,623
003,M25S0421,1.0,PC,1487,674
004,M25S0421,1.0,PC,1487,674
005,M25S0421,1.0,PC,1487,674
006,M25S0421,1.0,PC,1487,674
007,M25S0421,1.0,PC,1487,674
008,M25S0421,1.0,PC,1487,674
013,M25S0423,1.0,PC,1356,615
001,M25S0424,1.0,PC,1445,655
002,M25S0424,1.0,PC,1445,655
003,M25S0424,1.0,PC,1445,655
004,M25S0424,1.0,PC,1445,655
005,M25S0424,1.0,PC,1445,655
006,M25S0424,1.0,PC,1445,655
007,M25S0424,1.0,PC,1445,655
008,M25S0424,1.0,PC,1445,655
009,M25S0424,1.0,PC,1445,655
010,M25S0424,1.0,PC,1445,655
011,M25S0424,1.0,PC,1445,655
012,M25S0424,1.0,PC,1445,655
001,M25S0425,1.0,PC,1335,606
002,M25S0425,1.0,PC,1335,606
003,M25S0425,1.0,PC,1335,606
004,M25S0425,1.0,PC,1335,606
005,M25S0425,1.0,PC,1335,606
006,M25S0425,1.0,PC,1335,606
007,M25S0425,1.0,PC,1335,606
008,M25S0425,1.0,PC,1335,606
009,M25S0425,1.0,PC,1335,606
010,M25S0425,1.0,PC,1335,606
011,M25S0425,1.0,PC,1335,606
012,M25S0425,1.0,PC,1335,606
013,M25S0425,1.0,PC,1335,606
014,M25S0425,1.0,PC,1335,606
001,M25S0426,1.0,PC,1360,617
002,M25S0426,1.0,PC,1360,617
003,M25S0426,1.0,PC,1360,617
004,M25S0426,1.0,PC,1360,617
005,M25S0426,1.0,PC,1360,617
006,M25S0426,1.0,PC,1360,617
007,M25S0426,1.0,PC,1360,617
008,M25S0426,1.0,PC,1360,617
009,M25S0426,1.0,PC,1360,617
010,M25S0426,1.0,PC,1360,617
011,M25S0426,1.0,PC,1360,617
012,M25S0426,1.0,PC,1360,617
013,M25S0426,1.0,PC,1360,617
001,M25W1004,1.0,PC,1449,657
002,M25W1004,1.0,PC,1449,657
003,M25W1004,1.0,PC,1449,657
001,M25W1006,1.0,PC,1507,684
002,M25W1006,1.0,PC,1507,684
003,M25W1006,1.0,PC,1507,684
004,M25W1006,1.0,PC,1507,684
005,M25W1006,1.0,PC,1507,684
006,M25W1006,1.0,PC,1507,684
007,M25W1006,1.0,PC,1507,684
008,M25W1006,1.0,PC,1507,684
009,M25W1006,1.0,PC,1507,684
001,M25W1008,1.0,PC,1455,660
002,M25W1008,1.0,PC,1455,660
003,M25W1008,1.0,PC,1455,660
004,M25W1008,1.0,PC,1455,660
005,M25W1008,1.0,PC,1455,660
006,M25W1008,1.0,PC,1455,660
001,M25W1012,1.0,PC,1418,643
002,M25W1012,1.0,PC,1418,643
003,M25W1012,1.0,PC,1418,643
004,M25W1012,1.0,PC,1418,643
005,M25W1012,1.0,PC,1418,643
006,M25W1012,1.0,PC,1418,643
007,M25W1012,1.0,PC,1418,643
008,M25W1012,1.0,PC,1418,643
009,M25W1012,1.0,PC,1418,643
010,M25W1012,1.0,PC,1418,643
011,M25W1012,1.0,PC,1418,643
001,M25W1013,1.0,PC,1428,648
002,M25W1013,1.0,PC,1428,648
003,M25W1013,1.0,PC,1428,648
004,M25W1013,1.0,PC,1428,648
005,M25W1013,1.0,PC,1428,648
006,M25W1013,1.0,PC,1428,648
001,M25W1014,1.0,PC,1465,665
002,M25W1014,1.0,PC,1465,665
003,M25W1014,1.0,PC,1465,665
004,M25W1014,1.0,PC,1465,665
005,M25W1014,1.0,PC,1465,665
009,M25W1014,1.0,PC,1465,665
010,M25W1014,1.0,PC,1465,665
011,M25W1014,1.0,PC,1465,665
012,M25W1014,1.0,PC,1465,665
013,M25W1014,1.0,PC,1465,665
014,M25W1014,1.0,PC,1465,665
001,M25W1016,1.0,PC,1388,630
002,M25W1016,1.0,PC,1388,630
003,M25W1016,1.0,PC,1388,630
004,M25W1016,1.0,PC,1388,630
005,M25W1016,1.0,PC,1388,630
006,M25W1016,1.0,PC,1388,630
007,M25W1016,1.0,PC,1388,630
008,M25W1016,1.0,PC,1388,630
009,M25W1016,1.0,PC,1388,630
010,M25W1016,1.0,PC,1388,630
011,M25W1016,1.0,PC,1388,630
012,M25W1016,1.0,PC,1388,630
013,M25W1016,1.0,PC,1388,630
013,M25W1017,1.0,PC,1439,653
001,M25W1018,1.0,PC,1426,647
002,M25W1018,1.0,PC,1426,647
003,M25W1018,1.0,PC,1426,647
004,M25W1018,1.0,PC,1426,647
005,M25W1018,1.0,PC,1426,647
006,M25W1018,1.0,PC,1426,647
007,M25W1018,1.0,PC,1426,647
008,M25W1018,1.0,PC,1426,647
009,M25W1018,1.0,PC,1426,647
010,M25W1018,1.0,PC,1426,647
011,M25W1018,1.0,PC,1426,647
013,M25W1020,1.0,PC,1418,643
